"LOJA","NM_LOJA","DT_VENDA","MES_VENDA","ANO_VENDA","SKU","SKU_DESC","CLIENTE","CEP","VENDA"
5,"Raposo Tavares","2019-03-30",3,2019,14954069600000,"PORC NAT AC RET EXT60X60PORT OFF WH M2","1432X3534XXXXXXXXXXX",5625030,22.4
5,"Raposo Tavares","2019-03-09",3,2019,14791215300000,"ARG ACIII INT/EXT BCO 20KG VOT","31497277XXXXXXXXXXXX",5594030,-14.62
9,"Curitiba","2020-03-06",3,2020,14991099600000,"PISO AC EXT 53X53 GRANITE CLARO M2","57X7773XXXXXXXXXXXXX",81570150,56.5
9,"Curitiba","2020-03-01",3,2020,14140014147200,"Sifao univ multiuso ajust flex-tigre","47314465XXXXXXXXXXXX",82970020,9.39
9,"Curitiba","2020-03-25",3,2020,14141362510000,"Joelho 90 azul 25mmx1/2-plastilit","145141414146XXXXXXXX",83255000,0.24
10,"Sao Caetano","2020-03-19",3,2020,14140925220000,"Suporte p/ pl 4x2 horiz br S35","14437736XXXXXXXXXXXX",9260050,1.25
10,"Sao Caetano","2019-03-25",3,2019,14971409500000,"Caixa Acopl Boss Cinza Fosca 3/6L Incepa","57425X14XXXXXXXXXXXX",9541000,49.78
10,"Sao Caetano","2019-03-20",3,2019,14914335620000,"Sofá Balanço 3lug Lisboa Bco Naterial","9144779XXXXXXXXXXXXX",9070561,219.88
10,"Sao Caetano","2019-03-24",3,2019,14976414710000,"PERFIL F 530: 300 CM","632377XXXXXXXXXXXXXX",9401070,41.64
11,"Rio Barra","2019-03-29",3,2019,14914916900000,"PORC ESM PO RET INT 84X84 NUAGE M2 ART","14326X692XXXXXXXXXXX",22790671,522.16
12,"Morumbi","2020-03-08",3,2020,14577147210000,"Valv lav lg s/l vvl216 cr-esteves","143799235XXXXXXXXXXX",5686050,-4.21
12,"Morumbi","2019-03-12",3,2019,14945374200000,"RODAPE 1 FRISO 14CM BRANCO","26X3676XXXXXXXXXXXXX",5757170,144.46
12,"Morumbi","2020-03-19",3,2020,90705370000000,"RESPIRADOR DESC DOBRAV CG 421 PFF2 CARBO","56143997XXXXXXXXXXXX",6766270,4.12
13,"Brasilia Sul","2020-03-20",3,2020,90014139000000,"Partes de Cozinha Planejada UNI 600","59769X9XXXXXXXXXXXXX",71939360,42.03
15,"São José Campos","2019-03-27",3,2019,14676462200000,"ARG ACI INT CINZA 20KG VOT","1414277142XXXXXXXXXX",12320220,2.46
16,"Ricardo Jafet","2019-03-20",3,2019,14936149440000,"CIMENTO CPII 32 TODAS AS OBRA 50KG VOT","144514929XXXXXXXXXXX",6766080,3.73
16,"Ricardo Jafet","2020-03-13",3,2020,90220270000000,"PORC POL RET INT 60X60 NASH M2","37747147XXXXXXXXXXXX",4210061,20.37
16,"Ricardo Jafet","2019-03-14",3,2019,14140159700000,"VITRO BASCULANTE 1S FORTLINE BRI 60X60","1427976X7XXXXXXXXXXX",4236145,13.93
16,"Ricardo Jafet","2019-03-23",3,2019,14962761450000,"PORC ESM BR RET INT 58X58 TIVOLI M2","1432441493XXXXXXXXXX",4207903,148.22
16,"Ricardo Jafet","2019-03-23",3,2019,14914916900000,"PORC ESM PO RET INT 84X84 NUAGE M2 ART","143245X4XXXXXXXXXXXX",3043070,574.65
17,"Bangu","2019-03-29",3,2019,14659421400000,"Cola d3 pva eucatex 497gr","14326143X7XXXXXXXXXX",26012480,26.19
18,"Goiania","2020-03-11",3,2020,14914141162000,"DISJ DIN CURVA C 32A MONOP.3KA SIEMENS","145X76747XXXXXXXXXXX",74470855,1.19
19,"Porto Alegre","2020-03-18",3,2020,14914434250000,"REV BR RET INT 31X55 31160 M2","1451414X726XXXXXXXXX",90430131,259.58
19,"Porto Alegre","2020-03-19",3,2020,14937705000000,"TABUA 20 PINUS 21X200X3000MM","144435X93XXXXXXXXXXX",90230030,25.03
19,"Porto Alegre","2020-03-23",3,2020,14676462200000,"ARG ACI INT CINZA 20KG VOT","222X27XXXXXXXXXXXXXX",90410006,4.08
19,"Porto Alegre","2020-03-12",3,2020,14145140550000,"ARG PISO/PISO INT/EXT CINZA 20KG VOT","447X472XXXXXXXXXXXXX",90450060,15.21
19,"Porto Alegre","2020-03-24",3,2020,90372933000000,"REJ PLATINA ACRIL AREA UMIDA 1KG PTKL","2144X227XXXXXXXXXXXX",90430180,41.53
19,"Porto Alegre","2020-03-21",3,2020,14941062200000,"PORC ESM AC BOLD EXT 60X60 ESSENCE DC M2","4757914XXXXXXXXXXXXX",91110250,19.62
19,"Porto Alegre","2019-03-26",3,2019,14929621400000,"ARG ACII CINZA 20KG AXTON","4X76372XXXXXXXXXXXXX",94440000,-9.36
20,"BH Sul","2020-03-07",3,2020,14795419500000,"PISO BR INT 43X43 ISABELA M2","51457675XXXXXXXXXXXX",34007203,1.74
21,"Niteroi","2020-03-03",3,2020,14914667140000,"CAIXA D AGUA POLI 2000L FORTLEV","3547323XXXXXXXXXXXXX",24440455,170.23
21,"Niteroi","2019-03-18",3,2019,14930776400000,"PORC PO RET INT 62,5X62,5 TRAVERTINO M2","143233374XXXXXXXXXXX",24935505,289.21
22,"Anhanguera","2019-03-23",3,2019,14927473100000,"PORC ESM AC BOLD EXT 60X60 HANGAR CHI M2","143X25737XXXXXXXXXXX",13173435,73.74
22,"Anhanguera","2019-03-04",3,2019,14929625600000,"ARG PORC E PEDRAS CZ 20KG AXTON","1432X51455XXXXXXXXXX",13058294,36.410000000000004
23,"Taguatinga","2020-03-11",3,2020,14979211450000,"Caixa Acopl Eco/Azale/Acess Br 3/6L Roca","14724697XXXXXXXXXXXX",72015230,19.69
23,"Taguatinga","2019-03-23",3,2019,14140142176000,"ADESIVO ACRILICO GLOBALFIX 4KG","6344737XXXXXXXXXXXXX",71936250,37.13
23,"Taguatinga","2020-03-07",3,2020,14914141050000,"REV AC BOLD INT 34X50 GALICIA CZ M2 ART","2937737XXXXXXXXXXXXX",72145820,45.84
24,"Lar Center","2019-03-09",3,2019,14916905200000,"Areia Media Lav 20 kg","1477X366XXXXXXXXXXXX",2468000,8.04
24,"Lar Center","2020-03-04",3,2020,14591419450000,"CAL HIDRATADA CONSTRUÇÃO CIVIL 20KG VOT","14X742545XXXXXXXXXXX",3089010,0.74
26,"Jacarepagua","2019-03-27",3,2019,14991177300000,"PISO BR INT 53X53 FIRENZE M2","32661496XXXXXXXXXXXX",22750390,71.52000000000001
26,"Jacarepagua","2019-03-26",3,2019,14909763100000,"REJ CREMA 1KG EPOXI AREA MOLHADA ELIANE","3973XX2XXXXXXXXXXXXX",21340080,9.9
49,"Natal","2020-01-11",1,2020,14979211450000,"Caixa Acopl Eco/Azale/Acess Br 3/6L Roca","144454656XXXXXXXXXXX",59152480,8.71
50,"Maceio","2020-01-08",1,2020,14706079200000,"LIXA MADEIR-MASSA 225X275 GRÃO 120 BOSCH","7447X29XXXXXXXXXXXXX",57035250,0.4
50,"Maceio","2020-01-27",1,2020,14951414373000,"PISO BR INT 46X46 ARARIPE CZ M2","144575263XXXXXXXXXXX",57045000,78.83
12,"Morumbi","2020-01-13",1,2020,14530214142000,"Fita vedarosca 18mmx50m-tigre","56X97714XXXXXXXXXXXX",5724005,0.55
21,"Niteroi","2020-01-26",1,2020,14979035100000,"PISO AC INT 45X45 FORMA BRANCO M2","7451452XXXXXXXXXXXXX",24330160,1.82
21,"Niteroi","2020-01-06",1,2020,14755407500000,"Parafuso TA 25 chapa perfil cx1000 knauf","1444214275XXXXXXXXXX",24110814,9.46
21,"Niteroi","2020-01-28",1,2020,90193642000000,"PORC ESM PO RET INT 62X62 PARTHENON M2","144477345XXXXXXXXXXX",24943850,255.53
36,"BH Norte","2020-01-14",1,2020,14922971440000,"ARGAMASSA COLANTE ACII MG","144465272XXXXXXXXXXX",31730766,24.48
36,"BH Norte","2020-01-17",1,2020,14941143220000,"Espelho 80cm Qd Bis Magnifique Sensea","7145542XXXXXXXXXXXXX",33115190,11.06
36,"BH Norte","2020-01-20",1,2020,14949792600000,"PORC ESM AC RET INT24,5X100,7 CARV NT M2","144475663XXXXXXXXXXX",31570430,68.62
4,"Contagem","2020-01-14",1,2020,14922914050000,"ARGAMASSA  PORC 20KG MG","3922679XXXXXXXXXXXXX",30535230,0.29
4,"Contagem","2020-01-17",1,2020,90272371000000,"PISO BR INT 61X61 BRISA M2","3575699XXXXXXXXXXXXX",32340010,121.23
4,"Contagem","2020-01-29",1,2020,90413645000000,"PORC ESM PO RET INT 84X84 NERO REALE M2","4141441455XXXXXXXXXX",30640540,13.35
9,"Curitiba","2020-01-04",1,2020,14917464500000,"REJ GELO 3KG CIMENT AREA SECA ELIANE","1444214479XXXXXXXXXX",83704070,3.08
9,"Curitiba","2020-01-30",1,2020,90390293000000,"KitGab Procion L0,34xP0,64cm Munique/Br","9249947XXXXXXXXXXXXX",83310170,26.64
27,"Sorocaba","2020-01-09",1,2020,14993602100000,"CABO FLEX 10MM AZ 50M LEXMAN","143277573XXXXXXXXXXX",18086764,34.27
27,"Sorocaba","2020-01-16",1,2020,14970714630000,"LUVA NYLON LÁTEX MAXIGRIP PRO P","1425XXX53XXXXXXXXXXX",18116385,0.8
7,"Rio Norte","2020-01-24",1,2020,14995363300000,"PORC ES AC BOLD INT 60X60 MADRID BCO M2","7614X914XXXXXXXXXXXX",20756080,10.09
7,"Rio Norte","2020-01-16",1,2020,14676462200000,"ARG ACI INT CINZA 20KG VOT","4339436XXXXXXXXXXXXX",20271250,0.37
7,"Rio Norte","2020-01-06",1,2020,14960691460000,"Massalito sc 20 kg","149614614XXXXXXXXXXX",21311150,1.12
7,"Rio Norte","2020-01-27",1,2020,14577147210000,"Valv lav lg s/l vvl216 cr-esteves","145763214XXXXXXXXXXX",20560120,6.49
22,"Anhanguera","2020-01-21",1,2020,14997771300000,"PISO BR INT 43X43 VSP004 M2","14545X7XXXXXXXXXXXXX",13031580,1.72
1,"Interlagos","2020-01-23",1,2020,14927461420000,"PORC ESM PO RET INT 90X90 ARTSY M2","1445145524XXXXXXXXXX",4660002,148.81
24,"Lar Center","2020-01-31",1,2020,14925499100000,"Base Octog Concreto 27kg 48x48cm Preta","14142X1473XXXXXXXXXX",2336030,-50.81
24,"Lar Center","2020-01-22",1,2020,14741491640000,"Arg porcelanato ext cnza 20kg fort","6243764XXXXXXXXXXXXX",3162060,3.16
39,"São José","2020-01-02",1,2020,14913142940000,"LP OSB APA PLUS 11,1X1200X2400mm","142X67X37XXXXXXXXXXX",88113260,91.86
10,"Sao Caetano","2020-01-20",1,2020,14929616500000,"ARG ACI CZ 20KG AXTON","396937XXXXXXXXXXXXXX",1402000,1.48
16,"Ricardo Jafet","2020-01-29",1,2020,14791400110000,"Fech int idea 408475/40-zc cr 40mm","1445714667XXXXXXXXXX",1408001,103.24
45,"São Bernardo","2020-01-22",1,2020,14920464000000,"REJ PLATINA ACRIL AREA UMIDA 1KG ARGATEX","36X14592XXXXXXXXXXXX",9820680,4.35
45,"São Bernardo","2020-01-08",1,2020,14914952600000,"REV AC BOLD INT 33X59 LVA33010 M2 ART","14443726XXXXXXXXXXXX",9780340,24.99
